s/n point col#3 col#4 UGyroX(code) UGyroY(code) UGyroZ(code) UAccX(code) UAccY(code) UAccZ(code) col#11 col#12 col#13 col#14 col#15 col#16 col#17 col#18 col#19 col#20
C2001635 0 0 0 248.7957 -274.8420 112.7527 -192.9247 65.1523 13298.3975 24715 24710 24430 7827 7830 7748 7897 7897 7897 5.0175
C2001635 1 0 0 228.3943 -267.0310 122.6263 -237.2660 -13158.1924 91.1420 24714 24714 24431 7830 7829 7751 7900 7900 7900 5.0191
C2001635 2 0 0 226.8480 -255.9683 114.4247 -267.0407 62.6110 -13105.7031 24709 24707 24424 7824 7824 7745 7904 7904 7904 5.0188
C2001635 3 0 0 246.6857 -266.7503 101.8597 -222.4607 13281.2588 105.4940 24711 24704 24424 7824 7823 7737 7904 7904 7904 5.0190
C2001635 4 0 0 246.0410 -267.4890 103.4823 -222.4047 13281.7129 105.3520 24709 24700 24424 7823 7824 7737 7902 7902 7902 5.0182
C2001635 5 0 0 226.1163 -257.6390 113.3390 -266.5090 64.1920 -13105.7305 24708 24703 24424 7823 7823 7737 7904 7904 7904 5.0189
C2001635 6 0 0 227.7023 -266.8967 124.2023 -237.0110 -13157.5703 91.0663 24710 24703 24424 7823 7822 7736 7904 7904 7904 5.0182
C2001635 7 0 0 246.6097 -275.7107 112.9800 -189.8947 64.9450 13299.4082 24708 24702 24424 7823 7823 7738 7898 7898 7898 5.0188
C2001635 8 0 0 237.9513 -256.4103 116.3050 -13565.1895 56.2707 -151.2950 24737 24738 24457 7857 7859 7773 7921 7921 7921 5.0180
C2001635 9 0 0 227.0577 -247.3990 114.3187 -278.5337 64.1037 -13104.6240 24734 24741 24455 7856 7856 7781 7920 7920 7920 5.0191
C2001635 10 0 0 234.8087 -261.4580 117.4727 13107.2666 75.7393 352.4797 24729 24737 24450 7855 7856 7777 7912 7912 7912 5.0176
C2001635 11 0 0 248.1453 -267.9140 112.4287 -183.4673 67.7973 13302.8643 24736 24741 24454 7856 7856 7777 7916 7916 7916 5.0176
C2001635 12 0 0 249.4010 -267.4727 114.6460 -183.8587 67.1843 13301.1016 24738 24740 24456 7856 7857 7776 7920 7920 7920 5.0180
C2001635 12 0 0 246.9623 -268.0493 114.3730 -183.6857 66.8363 13301.7510 24737 24738 24456 7857 7857 7776 7921 7921 7921 5.0179
C2001635 13 0 0 237.0617 -261.2617 111.6203 13106.7373 73.5113 352.1753 24738 24745 24456 7859 7859 7777 7923 7923 7923 5.0191
C2001635 14 0 0 226.9300 -247.6157 113.8490 -278.4230 62.6530 -13105.2559 24736 24738 24456 7857 7857 7784 7919 7919 7919 5.0181
C2001635 15 0 0 238.7080 -255.8207 117.0667 -13565.7275 55.4743 -152.2507 24736 24743 24456 7856 7857 7777 7916 7916 7916 5.0188
