s/n point col#3 col#4 UGyroX(code) UGyroY(code) UGyroZ(code) col#8 col#9 col#10 col#11 col#12 col#13 col#14 col#15 col#16 col#17
C2001635 0 0 0 24542.0683 -361.8318 185.1348 24839 24828 24551 7966 7966 7880 8059 8059 8059 5.0171
C2001635 1 0 0 19680.0580 -343.8653 172.2985 24839 24831 24550 7966 7967 7880 8058 8058 8058 5.0170
C2001635 2 0 0 14817.1897 -323.4972 157.4582 24836 24831 24549 7966 7967 7880 8057 8057 8057 5.0170
C2001635 3 0 0 9957.0507 -303.3762 144.6562 24837 24831 24549 7966 7960 7880 8057 8057 8057 5.0170
C2001635 4 0 0 5091.6397 -285.5697 130.6150 24835 24832 24551 7967 7967 7880 8057 8057 8057 5.0177
C2001635 5 0 0 230.5458 -266.0935 114.6720 24832 24832 24547 7965 7966 7880 8056 8056 8056 5.0170
C2001635 6 0 0 -4634.0670 -248.0058 100.6167 24832 24828 24547 7964 7964 7879 8057 8057 8057 5.0170
C2001635 7 0 0 -9496.7307 -229.2308 87.2140 24832 24826 24547 7961 7964 7876 8056 8056 8056 5.0170
C2001635 8 0 0 -14360.6715 -208.5263 71.9847 24830 24830 24548 7964 7961 7879 8056 8056 8056 5.0171
C2001635 9 0 0 -19226.4368 -190.5185 57.7862 24830 24828 24546 7963 7964 7878 8056 8056 8056 5.0171
C2001635 10 0 0 -24092.7992 -172.3597 41.6417 24830 24829 24549 7962 7962 7877 8056 8056 8056 5.0172
C2001635 11 0 0 278.9102 22577.7178 88.5842 24838 24837 24553 7970 7971 7888 8063 8063 8063 5.0167
C2001635 12 0 0 269.0978 18008.2182 89.3545 24834 24834 24552 7968 7968 7883 8062 8062 8062 5.0168
C2001635 13 0 0 261.7840 13439.5745 89.2927 24832 24830 24552 7966 7966 7879 8060 8060 8060 5.0169
C2001635 14 0 0 254.1073 8870.7592 91.3642 24826 24825 24544 7960 7961 7873 8056 8056 8056 5.0162
C2001635 15 0 0 244.2322 4300.4683 92.3075 24823 24822 24542 7959 7959 7870 8055 8055 8055 5.0167
C2001635 16 0 0 237.0630 -269.1785 95.8048 24823 24818 24541 7955 7958 7866 8054 8054 8054 5.0164
C2001635 17 0 0 228.4107 -4838.1620 95.2215 24824 24823 24540 7959 7959 7872 8054 8054 8054 5.0167
C2001635 18 0 0 219.8975 -9404.6135 95.9332 24821 24823 24536 7960 7958 7872 8054 8054 8054 5.0166
C2001635 19 0 0 210.0682 -13974.9990 95.9950 24826 24824 24543 7959 7959 7871 8056 8056 8056 5.0170
C2001635 20 0 0 200.3645 -18543.4912 98.1912 24824 24819 24538 7959 7959 7871 8052 8052 8052 5.0163
C2001635 21 0 0 192.6208 -23114.4868 98.5380 24826 24819 24543 7957 7960 7868 8054 8054 8054 5.0167
C2001635 22 0 0 262.8672 -339.1892 -23482.1188 24781 24783 24494 7901 7903 7824 7976 7976 7976 5.0170
C2001635 23 0 0 255.0803 -321.2403 -18762.5087 24778 24781 24492 7904 7903 7824 7982 7982 7982 5.0170
C2001635 24 0 0 246.0797 -303.1843 -14042.8928 24784 24785 24497 7905 7905 7824 7985 7985 7985 5.0178
C2001635 25 0 0 239.3277 -284.4978 -9322.0198 24789 24784 24504 7911 7911 7826 7989 7989 7989 5.0170
C2001635 26 0 0 231.8893 -267.2705 -4602.1145 24791 24785 24504 7912 7912 7827 7992 7992 7992 5.0170
C2001635 27 0 0 223.1567 -248.2160 115.2398 24785 24786 24504 7912 7912 7832 7995 7995 7995 5.0170
C2001635 28 0 0 215.5137 -230.5100 4833.9615 24785 24787 24504 7913 7912 7831 7992 7992 7992 5.0169
C2001635 29 0 0 208.9788 -211.7563 9552.5105 24788 24789 24504 7915 7914 7832 7999 7999 7999 5.0169
C2001635 30 0 0 200.8940 -194.3595 14270.0032 24785 24791 24506 7919 7919 7832 8000 8000 8000 5.0169
C2001635 31 0 0 192.6395 -176.1845 18986.5577 24792 24789 24508 7920 7920 7833 8000 8000 8000 5.0170
C2001635 32 0 0 184.2853 -160.0410 23705.6012 24790 24792 24511 7921 7921 7835 8002 8002 8002 5.0170
